"#","Conflict / theater","Start date / active phase","Main parties","Historical context","Current status, June 2026","Realistic assessment: where it is heading"
"11","Iraq instability / ISIS remnants / militia conflict","2003 invasion; ISIS phase from 2014","Iraqi state, Popular Mobilization Forces, ISIS remnants, Kurdish forces, Turkish forces in north, Iranian-backed militias, U.S. forces","Iraq’s post-2003 order never fully resolved sectarian power-sharing, militia autonomy, Kurdish autonomy, or jihadist insurgency.","CFR tracks “Instability in Iraq” as an active political-instability conflict with a “worsening” status.globalsecurityreview","Severity: Medium. Trajectory: Chronic low-intensity conflict. Iraq is unlikely to collapse like 2014, but militia autonomy, Iranian influence, Turkish operations, and ISIS cells will keep the state semi-sovereign. The biggest escalation risk is Iraq becoming a battlefield inside the Iran–Israel–U.S. confrontation."
"12","Turkey–PKK / Kurdish armed conflict across Turkey, Iraq, and Syria","1984","Turkey vs PKK; Turkish forces vs YPG/SDF-linked actors in Syria/Iraq; Iraqi Kurdish authorities affected","The PKK insurgency began as a Kurdish separatist/leftist rebellion and evolved into a cross-border counterinsurgency theater.","CFR tracks the “Conflict Between Turkey and Armed Kurdish Groups” as an active territorial dispute affecting Turkey, Iraq, and Syria, with status marked “improving.”globalsecurityreview","Severity: Medium. Trajectory: Suppressed but not solved. Turkey can militarily pressure the PKK, but the Kurdish question is not going away. Expect continued Turkish strikes in Iraq/Syria, pressure on the SDF, and episodic urban/security incidents rather than a decisive political settlement."
"13","Libya instability / divided-state conflict","2011; second civil-war phase from 2014","Tripoli-based authorities and western militias vs eastern authorities/LNA networks; Turkey, Egypt, UAE, Russia-linked actors","NATO-backed regime collapse in 2011 left Libya divided among rival governments, militias, tribes, and external patrons.","CFR tracks “Instability in Libya” as an active civil-war conflict with an “unchanging” status.globalsecurityreview","Severity: Medium. Trajectory: Frozen fragmentation. Libya is likely to remain divided because armed actors profit from the status quo and external sponsors prevent decisive victory. The next danger is not a nationwide war so much as militia clashes around oil, banking, migration routes, and succession politics."
"14","Western Sahara / Morocco–Polisario conflict","1975; ceasefire breakdown in 2020","Morocco vs Polisario Front / Sahrawi Arab Democratic Republic; Algeria as Polisario backer","Spain’s withdrawal in 1975 led to Moroccan control of most of Western Sahara and a long-running self-determination dispute.","Geneva Academy includes Morocco and Western Sahara among current MENA armed-conflict territories.gjia.georgetown","Severity: Low/Medium. Trajectory: Frozen but militarized. Morocco is steadily consolidating facts on the ground, while Polisario lacks the capacity for decisive reversal. The conflict will likely remain low-intensity unless Algeria–Morocco tensions escalate."
"15","Egypt / Sinai jihadist insurgency","2011–2013 active phase","Egyptian state vs ISIS-Sinai and other jihadist cells; Bedouin/local dynamics","Sinai militancy surged after Egypt’s 2011 revolution and the 2013 coup, with ISIS affiliation intensifying the conflict.","Geneva Academy lists Egypt among current MENA armed-conflict territories.gjia.georgetown","Severity: Low/Medium. Trajectory: Contained insurgency. Egypt has reduced the threat compared with peak ISIS-Sinai years, but coercive governance and local grievances mean the insurgency is suppressed rather than politically resolved. Expect sporadic attacks rather than strategic insurgent expansion."
"16","Iran–Kurdish / PJAK and Kurdish unrest","2004 PJAK phase; periodic escalation, including 2022–2026 unrest","Iranian state/IRGC vs PJAK and other Kurdish opposition networks","Kurdish militancy in Iran is tied to ethnic discrimination, borderland smuggling economies, and wider Iranian opposition politics.","Public conflict listings identify the Iran–PJAK conflict and a 2026 Kurdish–Iranian crisis among ongoing armed conflicts.facebook","Severity: Low/Medium. Trajectory: Repression-driven recurrence. Tehran can contain Kurdish armed groups militarily, but every national protest wave risks reigniting the periphery. This conflict will likely remain intermittent unless regime instability widens."
"17","Sudan civil war","April 15, 2023","Sudanese Armed Forces under Abdel Fattah al-Burhan vs Rapid Support Forces under Mohamed Hamdan Dagalo/Hemedti; SPLM-N factions; regional sponsors","The war grew from a failed transition after Bashir’s fall and a power struggle over integrating the RSF into the regular army.","War Watch says the SAF–RSF NIAC ignited on April 15, 2023 and spread from Khartoum to Kordofan and Darfur; CSIS says Sudan entered its fourth year with the country split roughly between SAF control in the east and RSF control in the west.nytimes+1","Severity: Extreme. Trajectory: De facto partition and mass-atrocity risk. Sudan is heading toward a Somalia/Libya-style fractured state unless one side collapses or outside sponsors force a settlement. The brutal reality is that starvation, sexual violence, ethnic cleansing risk, and state collapse are not side effects; they are now central features of the war economy.bbc"
"18","South Sudan internal conflict","Civil war: Dec. 2013; peace deals 2015/2018; renewed deterioration 2024–2026","Government/SSPDF aligned with Salva Kiir vs SPLM/A-IO, NAS, local militias; Ugandan forces involved at times","South Sudan’s independence in 2011 did not resolve factional competition inside the ruling liberation movement.","War Watch says hostilities between SSPDF and SPLM/A-IO continued through the reporting period, with attacks on civilians escalating in early 2025 and remaining high.warwatch","Severity: High. Trajectory: Slow relapse. South Sudan is drifting back toward wider war because the peace architecture exists mostly on paper. If elite succession politics around Kiir turns violent, local conflicts can rapidly reconnect into national civil war."
"19","Ethiopia internal conflicts: Amhara, Oromia, Tigray residual tensions","Tigray war: 2020; Amhara/Fano escalation: 2023; OLA conflict older","Ethiopian federal government/ENDF vs Fano militias, Oromo Liberation Army, residual Tigrayan tensions and local armed groups","Ethiopia’s ethnic-federal system, Tigray war aftermath, and centralization drive created overlapping insurgencies.","CFR tracks “Conflict in Ethiopia” as worsening, and Geneva Academy lists Ethiopia among African states with active NIACs.globalsecurityreview+1","Severity: High. Trajectory: Fragmenting state authority. Ethiopia is unlikely to return to full civil war immediately, but its conflict map is widening. The danger is cumulative: Amhara insurgency, Oromo rebellion, Tigray distrust, economic stress, and border disputes can overload the state simultaneously."
"20","Ethiopia–Sudan al-Fashaga border dispute","Armed phase from 2020; ongoing dispute through 2025–2026","Ethiopia/ENDF and associated militias vs Sudan/SAF; local farmers and border communities","The al-Fashaga dispute predates Sudan’s civil war but worsened after Ethiopian and Sudanese military deployments.","War Watch says the Ethiopia–Sudan international armed conflict is considered ongoing because the border dispute persisted without withdrawal or negotiated solution.conflict","Severity: Medium. Trajectory: Dormant but dangerous. Neither side benefits from a major interstate war while Sudan is collapsing and Ethiopia faces internal conflict, but local incursions could ignite nationalist escalation. This is a classic low-visibility border conflict that can become strategically serious very quickly."
"21","Somalia / al-Shabaab war","2006–2007 active insurgency phase","Federal Government of Somalia, African Union mission/partners, clan militias vs al-Shabaab; ISIS-Somalia smaller actor","Al-Shabaab grew from the Islamic Courts Union era and survived years of U.S., Ethiopian, AU, and Somali offensives.","CFR tracks “Conflict With Al-Shabaab in Somalia” as active and “unchanging,” while 2026 war-torn country data lists Somalia among high-casualty conflict states.globalsecurityreview+1","Severity: High. Trajectory: Persistent insurgency. Al-Shabaab is not on a path to quick victory, but neither is the Somali state on a path to decisive consolidation. Expect oscillating offensives, taxation/extortion by al-Shabaab, and state dependence on external security support."
"22","Democratic Republic of Congo / eastern DRC war","Congo wars from 1996; current M23 resurgence from 2021","DRC government/FARDC, M23, ADF/ISIS-DRC, CODECO, Mai-Mai groups; Rwanda and regional forces implicated; Uganda affected","Eastern Congo’s wars are rooted in the Rwandan genocide aftermath, mineral economies, weak state control, and regional proxy networks.","CFR tracks the DRC conflict as “worsening,” while WFP says the most recent eruption began in 2021, pulled in regional forces, displaced more than 5 million internally, and left nearly 25 million hungry.globalsecurityreview+1","Severity: Extreme/High. Trajectory: Regionalized fragmentation. Eastern DRC is heading toward deeper de facto partition unless Rwanda–DRC tensions are contained and M23 is forced into a political-military settlement. The armed economy is too profitable and the state too weak for a purely military solution."
"23","Central African Republic civil conflict","2012–2013","CAR government, Wagner/Russian-linked forces, ex-Séléka factions, anti-Balaka factions, other rebel coalitions","CAR’s state collapse followed Séléka’s 2013 seizure of power and sectarian militia mobilization.","CFR tracks CAR as an active civil-war conflict with “unchanging” status, and Geneva Academy notes CAR has several overlapping NIACs involving multiple armed groups.globalsecurityreview+1","Severity: Medium/High. Trajectory: Managed warlordism. The government may hold Bangui and key corridors with Russian support, but rural armed-group power will persist. The future is not peace; it is an externally backed capital-state surrounded by negotiated violence."
"24","Mali jihadist and separatist conflict","2012","Malian junta/FAMa, Russian/Wagner-linked forces, JNIM, ISIS-Sahel, Tuareg/separatist factions","The 2012 Tuareg rebellion and jihadist takeover of northern Mali triggered French intervention, UN deployment, coups, and eventual Russian security alignment.","CFR includes Mali in the “Violent Extremism in the Sahel” conflict and marks the Sahel conflict as “worsening.”globalsecurityreview","Severity: High. Trajectory: Worsening insurgent expansion. Mali is likely to keep losing rural state presence despite tactical victories. Russian-backed counterinsurgency may punish communities and degrade jihadists locally, but it has not produced durable governance."
"25","Burkina Faso jihadist war","2015–2016","Burkinabè junta/security forces and auxiliaries vs JNIM, ISIS-Sahel, local armed groups","The Sahel insurgency spread from Mali into Burkina Faso, exploiting weak rural governance and intercommunal tensions.","CFR’s Sahel tracker includes Burkina Faso and marks the transnational terrorism conflict as “worsening,” while casualty datasets list Burkina Faso among significant current war zones.globalsecurityreview+1","Severity: High. Trajectory: Severe deterioration. Burkina Faso is one of the world’s most endangered states. The junta can hold major towns, but large rural areas are contested or inaccessible, and civilian self-defense mobilization risks deepening communal revenge cycles."
"26","Niger jihadist conflict","2015 onward; post-coup phase from 2023","Nigerien junta/security forces vs ISIS-Sahel, JNIM, Boko Haram/ISWAP-linked actors near Lake Chad","Niger sits between the Mali–Burkina Faso insurgency belt and the Lake Chad jihadist theater.","CFR includes Niger in the worsening Sahel conflict cluster.globalsecurityreview","Severity: High. Trajectory: Worsening under strategic isolation. The coup government’s rupture with Western partners and alignment shifts may reduce intelligence and air-support effectiveness. Jihadist groups will likely exploit border seams with Mali, Burkina Faso, Nigeria, and Benin."
"27","Chad / Lake Chad and Sahel spillover conflict","Boko Haram/Lake Chad phase from 2009; Sahel spillover continuing","Chadian state vs Boko Haram/ISWAP elements, rebel groups, cross-border jihadist networks","Chad has long functioned as both a counterterrorism military hub and a fragile authoritarian state facing rebel pressure.","CFR includes Chad in the worsening Sahel conflict cluster.globalsecurityreview","Severity: Medium/High. Trajectory: Spillover risk. Chad is not collapsing, but it is exposed from every direction: Sudan to the east, Libya to the north, Lake Chad jihadists to the west, and internal succession tensions. Expect border militarization and episodic rebel/jihadist attacks."
"28","Nigeria: Boko Haram/ISWAP, banditry, and communal violence","Boko Haram insurgency: 2009; banditry escalation: 2010s","Nigerian state vs Boko Haram, ISWAP, armed bandit networks, communal militias","Nigeria’s violence combines jihadism in the northeast, bandit kidnapping economies in the northwest, farmer-herder conflict, and separatist/communal tensions.","Geneva Academy lists Nigeria among African states with active NIACs, and 2026 casualty datasets place Nigeria among the world’s higher-fatality conflict countries.gjia.georgetown+1","Severity: High. Trajectory: Multi-front internal security crisis. Nigeria is too large and institutionally resilient to be “taken over,” but the state is losing credibility where armed groups tax, kidnap, or govern. The likely direction is chronic fragmentation of security rather than nationwide civil war."
"29","Cameroon: Anglophone conflict and Boko Haram spillover","Anglophone crisis: 2016–2017; Boko Haram spillover from 2014","Cameroonian state vs Ambazonian separatists; Boko Haram/ISWAP elements in Far North","Cameroon faces both a separatist insurgency in its English-speaking regions and jihadist spillover from the Lake Chad basin.","Geneva Academy lists Cameroon among African states with active NIACs.gjia.georgetown","Severity: Medium. Trajectory: Entrenched low-intensity war. Yaoundé can prevent secession, but it has not solved the political grievance. Expect continued ambushes, school disruption, abuses, and humanitarian stagnation rather than a decisive outcome."
"30","Mozambique / Cabo Delgado insurgency","2017","Mozambican state, Rwandan and SADC-linked forces vs ISIS-Mozambique / Ansar al-Sunna","The insurgency emerged in the gas-rich north amid local grievances, smuggling networks, and jihadist radicalization.","Geneva Academy lists Mozambique among African states with active NIACs and notes foreign intervention in the conflict.gjia.georgetown","Severity: Medium/High. Trajectory: Suppressed but resilient. Foreign troops can protect key infrastructure, but insurgents can disperse, raid, and reappear. The LNG economy may resume under security bubbles while rural civilians remain exposed."
"31","Senegal / Casamance conflict","1982","Senegalese state vs MFDC factions","Casamance separatism has persisted for decades but at much lower intensity than in the 1990s.","Geneva Academy includes Senegal among African states with current NIACs.gjia.georgetown","Severity: Low. Trajectory: Slow decline, not fully ended. This is one of the more containable conflicts on the list. The likely direction is further demobilization and criminalized residual violence unless political neglect revives separatist sentiment."
"32","Myanmar civil war","Root conflict: 1948; post-coup nationwide war: Feb. 2021","Myanmar military/SAC vs People’s Defence Forces, National Unity Government-aligned forces, ethnic armed organizations including KIA, AA, TNLA, MNDAA, Karen/Karenni forces and others","Myanmar has had one of the world’s longest civil wars, but the 2021 coup transformed it into a nationwide anti-junta war.","CFR tracks Myanmar’s civil war as active and “unchanging,” while WFP says conflict resumed after a brief post-earthquake ceasefire and that 3.6 million people are displaced and 12.4 million are extremely hungry.globalsecurityreview+1","Severity: Extreme/High. Trajectory: Junta erosion without clean rebel victory. The junta is losing territorial depth but still has airpower, heavy weapons, and control of core cities. Myanmar is heading toward either negotiated military retreat or a fragmented post-junta landscape with multiple armed authorities; the second outcome is more likely."
"33","Afghanistan: Taliban rule vs ISIS-K and resistance networks","Modern war: 1978/2001; Taliban takeover: Aug. 2021; ISIS-K conflict ongoing","Taliban regime vs ISIS-K, National Resistance Front remnants, local opposition; Pakistan affected","The Taliban won the U.S./NATO war but inherited a fractured economy, sanctions, ethnic tensions, and jihadist competitors.","CFR tracks “Instability in Afghanistan” as active and “worsening,” while Geneva Academy lists Afghanistan among Asian states with current NIACs.globalsecurityreview+1","Severity: Medium/High. Trajectory: Repressive stability with terrorist risk. The Taliban can suppress most domestic opposition, but ISIS-K remains a transnational threat. The danger is not a near-term Taliban collapse; it is Afghanistan becoming a durable sanctuary for regional extremist plots while the population remains economically crushed."
"34","Pakistan: TTP, Baloch insurgency, and militant violence","TTP phase: 2007; Baloch insurgency: 2004/2005; older roots","Pakistani state vs Tehrik-e-Taliban Pakistan, Baloch separatists, sectarian militants; Afghan Taliban relationship central","Pakistan’s militant ecosystem is tied to the Afghan war, tribal-area militancy, Baloch nationalism, and state proxy blowback.","CFR tracks “Instability in Pakistan” as “worsening,” and Geneva Academy says Pakistan has six NIACs involving Taliban-affiliated groups and Baloch independence fighters.globalsecurityreview+1","Severity: High. Trajectory: Worsening internal security pressure. Pakistan faces simultaneous economic stress, political legitimacy crisis, and militant resurgence. The state will not collapse, but the border belt and Balochistan are likely to become more violent, especially if Afghanistan–Pakistan relations deteriorate."
"35","India–Pakistan / Kashmir conflict","Oct. 1947; insurgency phase from 1989","India and Pakistan; Kashmiri militants; civilians in Jammu & Kashmir","Partition created the Kashmir dispute, producing wars, insurgency, nuclear crises, and recurring cross-border attacks.","CFR tracks the India–Pakistan conflict as active and “unchanging,” and Geneva Academy classifies an India–Pakistan international armed conflict as ongoing in Asia.globalsecurityreview+1","Severity: High as flashpoint; Medium in day-to-day fighting. Trajectory: Dangerous stability. Nuclear deterrence prevents total war but encourages calibrated strikes and proxy pressure. The most likely path is periodic crises after militant attacks, with escalation controlled until one side misreads the other."
"36","India–China border confrontation","1962 war; renewed Ladakh crisis from 2020","India vs China/PLA","The Line of Actual Control remains undemarcated, and the 2020 Galwan clash shattered decades of border-management assumptions.","Geneva Academy identifies an India–China international armed conflict as ongoing, and CFR tracks broader regional flashpoints including Taiwan and the South China Sea involving China.gjia.georgetown+1","Severity: Medium/High flashpoint. Trajectory: Militarized competition. A major India–China war is unlikely but no longer unthinkable. Both sides are building infrastructure, forward deployments, and nationalist narratives that make tactical clashes more likely and de-escalation harder."
"37","India internal insurgencies: Kashmir, Maoist/Naxalite, northeast","Kashmir insurgency: 1989; Naxalite conflict: 1967; NE insurgencies older","Indian state vs Kashmiri militants, Maoist/Naxalite groups, northeastern insurgent factions","India’s internal conflicts combine separatism, left-wing insurgency, ethnic autonomy movements, and cross-border militant support.","Geneva Academy lists India among Asian states with active NIACs.gjia.georgetown","Severity: Medium. Trajectory: Contained but persistent. India has reduced some insurgent capacities, especially through intelligence and security-force saturation, but political grievances remain. Expect declining Maoist space, continued Kashmir militancy, and periodic northeast flare-ups."
"38","Philippines: Mindanao insurgencies and communist insurgency","Moro conflict: late 1960s; NPA: 1969; ISIS-linked phase: 2014–2017 onward","Philippine state vs NPA, Abu Sayyaf, BIFF, Maute/ISIS-linked groups, residual Moro factions","Mindanao’s wars stem from Moro autonomy grievances, clan politics, jihadist splinters, and weak peripheral governance.","Geneva Academy says the Philippines has six NIACs, particularly in Mindanao, involving groups including the MNLF, MILF, BIFF, Maute Group, and Abu Sayyaf.gjia.georgetown","Severity: Medium. Trajectory: Degraded but not extinguished. Manila has contained the worst ISIS-style threat, but splinter groups survive where poverty, clan conflict, and illicit economies remain. The communist insurgency is aging but still lethal in pockets."
"39","North Korea crisis / Korean Peninsula militarized conflict","Korean War: 1950; armistice: 1953","North Korea vs South Korea/U.S.; Japan affected; China as key external actor","The Korean War never ended with a peace treaty, and North Korea’s nuclear and missile programs transformed the conflict.","CFR tracks the North Korea crisis as an active interstate conflict with “critical” U.S. interest impact and an “unchanging” status.globalsecurityreview","Severity: Extreme flashpoint. Trajectory: Nuclearized coercion. Full war remains unlikely because it would be catastrophic for all sides, but North Korea will keep using missiles, nuclear threats, cyber operations, and limited provocations to extract leverage. The risk is accidental escalation during a naval, artillery, or missile incident."
"40","Taiwan Strait confrontation","1949 unresolved Chinese civil war; major coercive escalation from 2022 onward","People’s Republic of China vs Taiwan/Republic of China; United States and Japan as key deterrence actors","Beijing claims Taiwan as part of China, while Taiwan functions as a self-governing democracy protected by ambiguous U.S. security commitments.","CFR tracks “Confrontation Over Taiwan” as a worsening interstate conflict with “critical” U.S. interest impact.globalsecurityreview","Severity: Extreme flashpoint. Trajectory: Coercive pressure short of invasion, for now. The most likely near-term path is quarantine/blockade rehearsals, cyber pressure, gray-zone maritime/air operations, and political warfare rather than immediate amphibious invasion. The danger window grows if Beijing concludes peaceful coercion is failing or U.S. deterrence is distracted."
"41","South China Sea disputes","Modern disputes: 1970s onward; militarization surge from 2010s","China, Philippines, Vietnam, Malaysia, Brunei, Taiwan, Indonesia; U.S. freedom-of-navigation role","Competing maritime claims overlap with fisheries, hydrocarbons, strategic sea lanes, and China’s island-building campaign.","CFR tracks South China Sea territorial disputes as an active conflict with “critical” U.S. interest impact and “unchanging” status.globalsecurityreview","Severity: High flashpoint. Trajectory: Gray-zone escalation. The most likely conflict path is not formal war but repeated coast-guard collisions, blockades of outposts, water-cannon/ramming incidents, and escalation around Philippine resupply missions. If a Filipino or Chinese service member is killed, U.S. treaty commitments become the core risk."
"42","Haiti gang war / state collapse","2018–2021 escalation; 2024 state-collapse phase","Haitian gangs/federations vs Haitian National Police, transitional authorities, Kenyan-led multinational mission and partners","Haiti’s crisis stems from state collapse, elite-gang links, the 2021 assassination of President Jovenel Moïse, and collapse of police control in Port-au-Prince.","CFR tracks “Criminal Violence in Haiti” as “worsening,” and WFP lists Haiti among conflicts driving hunger.globalsecurityreview+1","Severity: High. Trajectory: Criminal insurgency unless external mission scales up. Haiti is beyond ordinary gang crime; armed groups are functioning as political-military authorities. Without a much larger security, justice, and governance intervention, gangs will keep expanding territorial control and the state will remain nominal."
"43","Mexico cartel wars","Federal cartel war phase: 2006","Mexican state, cartels including Sinaloa factions, CJNG, local criminal coalitions, self-defense groups","Mexico’s organized-crime war intensified after militarized anti-cartel strategy fragmented major cartels into violent networks.","CFR tracks “Criminal Violence in Mexico” as “worsening,” and Geneva Academy classifies three NIACs in Mexico involving drug cartels because of their organization and the intensity of violence.globalsecurityreview+1","Severity: High. Trajectory: Criminal-political entrenchment. Mexico is not headed toward classic civil war, but cartel power is becoming quasi-insurgent in some regions. Expect more drone use, IEDs, territorial governance, extortion, and pressure on elections unless state capacity and anti-corruption enforcement improve dramatically."
"44","Colombia armed conflicts: ELN, FARC dissidents, Clan del Golfo and others","Root conflict: 1964; post-FARC fragmentation after 2016","Colombian state vs ELN, FARC dissident factions, Clan del Golfo/AGC, local armed groups","The 2016 FARC peace deal reduced one major war but left armed economies, coca routes, illegal mining, and dissident factions.","Geneva Academy says Colombia still has three NIACs, and 2026 casualty datasets list Colombia among ongoing conflict countries.gjia.georgetown+1","Severity: Medium/High. Trajectory: Fragmented criminal-insurgent conflict. Colombia’s war is no longer one insurgency; it is a mosaic of armed governance and illicit economies. The state can negotiate with some groups, but splinter incentives mean violence will persist in borderlands and coca/mining corridors."
"45","Ecuador internal armed conflict / cartel-gang war","Major escalation: Jan. 2024","Ecuadorian state vs Los Choneros, Los Lobos, Tiguerones and other prison/cartel-linked groups; Mexican/Colombian cartel influence","Ecuador shifted from transit country to violent narco-logistics battleground as ports, prisons, and political institutions were penetrated.","2026 casualty datasets list Ecuador as a civil-war/drug-war case with thousands of estimated 12-month casualties.csis","Severity: High. Trajectory: Rapid criminal militarization. Ecuador is one of the most worrying newer conflicts because violence escalated faster than institutions adapted. Expect more prison violence, port corruption, assassinations, and militarized policing; success depends on whether the state can retake prisons and ports without creating new abuses."
